University,"DBpedia URI",timeshighereducation,topuniversities,shanghairanking,leidenranking,urapcenter,shanghairanking
"London School of Hygiene and Tropical Medicine",http://dbpedia.org/resource/London_School_of_Hygiene_&_Tropical_Medicine,,,401-500,33,,
" Loughborough University ",http://dbpedia.org/resource/Loughborough_University,351-400,"244 ",,352,,255
"Louisiana State University - Baton Rouge",http://dbpedia.org/resource/Louisiana_State_University,,"501-550 ",201-300,362,286,220
"Loyola University Chicago ",http://dbpedia.org/resource/Loyola_University_Chicago,,"601-650 ",,,,397
"Ludwig-Maximilians-Universität München ",http://dbpedia.org/resource/Ludwig_Maximilian_University_of_Munich,,"65 ",61,110,46,62
" Lund University ",http://dbpedia.org/resource/Lund_University,123,"67 ",101-150,263,69,
" Maastricht University ",http://dbpedia.org/resource/Maastricht_University,98,"121 ",,123,,
"Macquarie University",http://dbpedia.org/resource/Macquarie_University,276-300,"263 ",201-300,227,407,
"Mahidol University ",http://dbpedia.org/resource/Mahidol_University,,"283 ",,472,368,273
"Masaryk University ",http://dbpedia.org/resource/Masaryk_University,,"551-600 ",,,,
" Massachusetts Institute of Technology (MIT) ",http://dbpedia.org/resource/Massachusetts_Institute_of_Technology,5,"1 ",4,1,14,2
"Massey University",http://dbpedia.org/resource/Massey_University,,"343 ",401-500,339,,328
" McGill University ",http://dbpedia.org/resource/McGill_University,35,"21 ",58,131,27,77
" McMaster University ",http://dbpedia.org/resource/McMaster_University,92,"140 ",92,210,104,81
"Medical College of Wisconsin",http://dbpedia.org/resource/Medical_College_of_Wisconsin,,,401-500,304,349,457
"Medical University of South Carolina",http://dbpedia.org/resource/Medical_University_of_South_Carolina,,,301-400,211,321,
"Memorial University of Newfoundland ",http://dbpedia.org/resource/Memorial_University_of_Newfoundland,,"601-650 ",,,,476
" Michigan State University ",http://dbpedia.org/resource/Michigan_State_University,83,"171 ",92,143,99,23
"Michigan Technological University ",http://dbpedia.org/resource/Michigan_Technological_University,,"551-600 ",,,,388
" Middle East Technical University ",http://dbpedia.org/resource/Middle_East_Technical_University,201-225,"431-440 ",,418,474,484
"Missouri University of Science and Technology ",http://dbpedia.org/resource/Missouri_University_of_Science_and_Technology,,"601-650 ",,,,
" Monash University ",http://dbpedia.org/resource/Monash_University,91,"69 ",101-150,178,81,114
"Montana State University",http://dbpedia.org/resource/Montana_State_University_–_Bozeman,,,,,,355
"Moscow Institute of Physics and Technology State University ",http://dbpedia.org/resource/Moscow_Institute_of_Physics_and_Technology,,"441-450 ",,,,
"Moscow State Institute of International Relations (MGIMO-University) ",http://dbpedia.org/resource/Moscow_State_Institute_of_International_Relations,,"386 ",,,,
"Moscow State University",http://dbpedia.org/resource/Moscow_State_University,226-250,"120 ",79,468,140,
"Mount Sinai School of Medicine",http://dbpedia.org/resource/Mount_Sinai_School_of_Medicine,,,151-200,,,
" Murdoch University ",http://dbpedia.org/resource/Murdoch_University,301-350,"551-600 ",,,,
"Nagoya University ",http://dbpedia.org/resource/Nagoya_University,201-225,"99 ",101-150,382,118,233
"Nanjing University",http://dbpedia.org/resource/Nanjing_University,251-275,"175 ",201-300,252,121,269
"Nankai University",http://dbpedia.org/resource/Nankai_University,,"363 ",401-500,53,263,458
" Nanyang Technological University ",http://dbpedia.org/resource/Nanyang_Technological_University,76,"41 ",201-300,75,98,283
"National and Kapodistrian University of Athens",http://dbpedia.org/resource/National_and_Kapodistrian_University_of_Athens,,"501-550 ",301-400,446,170,333
